url_code,title,url,annotation
B085RPN1QZ,A Good Time to Be Born: How Science and Public Health Gave Children a Future,http://www.amazon.com/Good-Time-Be-Born-Children-ebook/dp/B085RPN1QZ/ref=sr_1_1?dchild=1&keywords=immunization&qid=1588793857&sr=8-1,-1
B086ZHMR66,Qualitative insights into reasons for missed opportunities for vaccination in Kenyan health facilities,http://www.amazon.com/Qualitative-insights-opportunities-vaccination-facilities-ebook/dp/B086ZHMR66/ref=sr_1_8?dchild=1&keywords=immunization&qid=1588793857&sr=8-8,-1
1441911073,Vaccines: A Biography,http://www.amazon.com/Vaccines-Biography-Andrew-W-Artenstein/dp/1441911073/ref=sr_1_3?dchild=1&keywords=hepatitis+a+vaccine&qid=1589176832&sr=8-3,-1
B00MU1AZQQ,Vaccine Nation: America's Changing Relationship with Immunization,http://www.amazon.com/Vaccine-Nation-Americas-Relationship-Immunization-ebook/dp/B00MU1AZQQ/ref=sr_1_8?dchild=1&keywords=hepatitis+a+vaccine&qid=1589176832&sr=8-8,-1
1455700908,Vaccines: Expert Consult - Online and Print (Vaccines (Plotkin)),http://www.amazon.com/Vaccines-Expert-Consult-Plotkin-Orenstein/dp/1455700908/ref=sr_1_4?dchild=1&keywords=hepatitis+a+vaccine&qid=1589178304&sr=8-4,-1
161002463X,Pediatric Vaccines: A Clinical Decision Support Chart: A Clinical Decision Support Chart,http://www.amazon.com/Pediatric-Vaccines-Clinical-Decision-Support/dp/161002463X/ref=sr_1_1?dchild=1&keywords=hepatitis+a+vaccine&qid=1589178754&sr=8-1,-1
B01L2GOT1G,Eliminating the Public Health Problem of Hepatitis B and C in the United States: Phase One Report,http://www.amazon.com/Eliminating-Public-Health-Problem-Hepatitis-ebook/dp/B01L2GOT1G/ref=sr_1_6?dchild=1&keywords=hepatitis+a+vaccine&qid=1589178754&sr=8-6,-1
B07HYD7PKW,"Defeating the Ministers of Death: The compelling story of vaccination, one of medicine's greatest triumphs",http://www.amazon.com/Defeating-Ministers-Death-David-Isaacs-ebook/dp/B07HYD7PKW/ref=sr_1_6?dchild=1&keywords=gardasil&qid=1588824037&sr=8-6,-1
1973930587,"Good News About Women And HPV: How to protect your health, the health of your children, and your relationship with your partner.",http://www.amazon.com/Good-News-About-Women-HPV/dp/1973930587/ref=sr_1_5?dchild=1&keywords=gardasil&qid=1588824502&sr=8-5&swrs=BB8757E54F6C8EDF538616E443A0B3E5,-1
B01C7UC2BK,The Human Papillomavirus (HPV): Full Illustrated 2016,http://www.amazon.com/Human-Papillomavirus-HPV-Full-Illustrated-ebook/dp/B01C7UC2BK/ref=sr_1_7?dchild=1&keywords=gardasil&qid=1588824502&sr=8-7&swrs=BB8757E54F6C8EDF538616E443A0B3E5,-1
B087ZWF3N5,One Legging it Around #Vacuna - Hashtag Leather Dark Brown Patch Engraved Trucker Hat,http://www.amazon.com/Vacuna-Hashtag-Leather-Engraved-Heather-White/dp/B087ZWF3N5/ref=sr_1_1?dchild=1&keywords=gardasil&qid=1588825909&sr=8-1,-1
B086Z5VTYR,"#vacuna - 12oz Hashtag Camping Mug Stainless Steel, Black",http://www.amazon.com/vacuna-Hashtag-Camping-Stainless-Steel/dp/B086Z5VTYR/ref=sr_1_3?dchild=1&keywords=gardasil&qid=1588825909&sr=8-3,-1
B086Z677RM,"#vaccine - 12oz Hashtag Camping Mug Stainless Steel, Black",http://www.amazon.com/vaccine-Hashtag-Camping-Stainless-Steel/dp/B086Z677RM/ref=sr_1_5?dchild=1&keywords=gardasil&qid=1588825909&sr=8-5,-1
B086Z73BS7,"#vaccination - 12oz Hashtag Camping Mug Stainless Steel, Black",http://www.amazon.com/vaccination-Hashtag-Camping-Stainless-Steel/dp/B086Z73BS7/ref=sr_1_6?dchild=1&keywords=gardasil&qid=1588825909&sr=8-6,-1
B0054TQATW,A Long Time Dead: The Dead Trilogy (Roger Conniston Book 1),http://www.amazon.com/Long-Time-Dead-Roger-Conniston-ebook/dp/B0054TQATW/ref=sr_1_2?dchild=1&keywords=andrew+wakefield&qid=1588608538&sr=8-2,-1
B083XVFXZS,Andrew Wakefield Reminder Blank Lined Notebook/Journal for Bioethics Students,http://www.amazon.com/Wakefield-Reminder-Notebook-Bioethics-Students/dp/B083XVFXZS/ref=sr_1_9?dchild=1&keywords=andrew+wakefield&qid=1588608538&sr=8-9,-1
B085F37NRV,KENNETHHOFFMAN 3 PCs Stickers Pro Vaccine | Got Polio Me Neither Gift 3×4 Inch Die-Cut Wall Decals for Laptop Window Car Bumper Helmet Water Bottle,http://www.amazon.com/KENNETHHOFFMAN-Stickers-Vaccine-Neither-Die-Cut/dp/B085F37NRV/ref=sr_1_4?dchild=1&keywords=hepatitis+vaccine&qid=1588637614&sr=8-4&swrs=CB4F9EA097429568B217C1CCE756ADDF,-1
