url_code,url,annotation
1480747157,http://www.amazon.com/dp/1480747157,5
B0798NQHKK,http://www.amazon.com/dp/B0798NQHKK,0
B08696SV71,http://www.amazon.com/dp/B08696SV71,5
B01BUNJJ1Q,http://www.amazon.com/dp/B01BUNJJ1Q,5
B00B6U090Y,http://www.amazon.com/dp/B00B6U090Y,5
B07D66Y4CZ,http://www.amazon.com/dp/B07D66Y4CZ,1
B07S4KZ5KV,http://www.amazon.com/dp/B07S4KZ5KV,5
B000FPH2FQ,http://www.amazon.com/dp/B000FPH2FQ,0
B07X43JYY6,http://www.amazon.com/dp/B07X43JYY6,5
B001WUCLXQ,http://www.amazon.com/dp/B001WUCLXQ,0
B00ZVFS09W,http://www.amazon.com/dp/B00ZVFS09W,0
B073WJVCBV,http://www.amazon.com/dp/B073WJVCBV,0
B07595GXDF,http://www.amazon.com/dp/B07595GXDF,0
B006E8ZYPI,http://www.amazon.com/dp/B006E8ZYPI,5
B01F2LHRSO,http://www.amazon.com/dp/B01F2LHRSO,5
B07T3GCPZN,http://www.amazon.com/dp/B07T3GCPZN,5
B004XVWDK2,http://www.amazon.com/dp/B004XVWDK2,5
B00U2T6SYQ,http://www.amazon.com/dp/B00U2T6SYQ,0
B078QXSYD6,http://www.amazon.com/dp/B078QXSYD6,5
B074VGXM47,http://www.amazon.com/dp/B074VGXM47,1
B07SF6PY2J,http://www.amazon.com/dp/B07SF6PY2J,5
B00S8N8WC4,http://www.amazon.com/dp/B00S8N8WC4,3
B00KY3L5DE,http://www.amazon.com/dp/B00KY3L5DE,1
B001JU81DI,http://www.amazon.com/dp/B001JU81DI,0
B07DL6VH6J,http://www.amazon.com/dp/B07DL6VH6J,0
B0066A9ZUY,http://www.amazon.com/dp/B0066A9ZUY,5
B0868JFT1B,http://www.amazon.com/dp/B0868JFT1B,5
B07Q2HQZZB,http://www.amazon.com/dp/B07Q2HQZZB,5
B0876FZ9NV,http://www.amazon.com/dp/B0876FZ9NV,5
B07PNDC2PX,http://www.amazon.com/dp/B07PNDC2PX,3
B00770DIV4,http://www.amazon.com/dp/B00770DIV4,0
B083JM99Q8,http://www.amazon.com/dp/B083JM99Q8,0
B0848HG623,http://www.amazon.com/dp/B0848HG623,0
B084SZW2LC,http://www.amazon.com/dp/B084SZW2LC,5
B074N6J64B,http://www.amazon.com/dp/B074N6J64B,5
B07XYZRGWP,http://www.amazon.com/dp/B07XYZRGWP,5
B07XVQKT59,http://www.amazon.com/dp/B07XVQKT59,0
B0845PQ517,http://www.amazon.com/dp/B0845PQ517,5
B073VRCC2Z,http://www.amazon.com/dp/B073VRCC2Z,5
B07BK9YRQF,http://www.amazon.com/dp/B07BK9YRQF,0
B00KU4NVCA,http://www.amazon.com/dp/B00KU4NVCA,5
B076HTFT3Q,http://www.amazon.com/dp/B076HTFT3Q,5
B004USC5N8,http://www.amazon.com/dp/B004USC5N8,0
B07XXDG5HY,http://www.amazon.com/dp/B07XXDG5HY,5
B01G258ECW,http://www.amazon.com/dp/B01G258ECW,5
B083TLCW25,http://www.amazon.com/dp/B083TLCW25,5
B01E14X7SM,http://www.amazon.com/dp/B01E14X7SM,1
B0871V97BP,http://www.amazon.com/dp/B0871V97BP,5
1594961913,http://www.amazon.com/dp/1594961913,5
B00NQAW77K,http://www.amazon.com/dp/B00NQAW77K,0
B07S86JT37,http://www.amazon.com/dp/B07S86JT37,0
B07YM22YKW,http://www.amazon.com/dp/B07YM22YKW,5
B00NB574LY,http://www.amazon.com/dp/B00NB574LY,5
B06Y63LPHY,http://www.amazon.com/dp/B06Y63LPHY,0
B01NACFHEM,http://www.amazon.com/dp/B01NACFHEM,0
B083ZL3W9D,http://www.amazon.com/dp/B083ZL3W9D,5
0545068592,http://www.amazon.com/dp/0545068592,5
B07DYMNX9Q,http://www.amazon.com/dp/B07DYMNX9Q,5
B01MQH5JA7,http://www.amazon.com/dp/B01MQH5JA7,5
1642500496,http://www.amazon.com/dp/1642500496,0
B07DT9P32K,http://www.amazon.com/dp/B07DT9P32K,1
B084WP4ZFL,http://www.amazon.com/dp/B084WP4ZFL,5
B01IAHKULS,http://www.amazon.com/dp/B01IAHKULS,0
B083ZV854L,http://www.amazon.com/dp/B083ZV854L,5
B01LWNEKA8,http://www.amazon.com/dp/B01LWNEKA8,0
B086P9BHCG,http://www.amazon.com/dp/B086P9BHCG,3
B00OQCUVM0,http://www.amazon.com/dp/B00OQCUVM0,0
B07F1K26SP,http://www.amazon.com/dp/B07F1K26SP,5
B018PD2HWM,http://www.amazon.com/dp/B018PD2HWM,1
B07SDB9TDV,http://www.amazon.com/dp/B07SDB9TDV,5
B07CRT88QN,http://www.amazon.com/dp/B07CRT88QN,4
B0743J21SF,http://www.amazon.com/dp/B0743J21SF,0
B00NMFE0BK,http://www.amazon.com/dp/B00NMFE0BK,5
B00KU4PVYG,http://www.amazon.com/dp/B00KU4PVYG,0
B0746P1LGV,http://www.amazon.com/dp/B0746P1LGV,1
B06XS4B15G,http://www.amazon.com/dp/B06XS4B15G,0
B00WU2J1QK,http://www.amazon.com/dp/B00WU2J1QK,5
B07BGFRKNF,http://www.amazon.com/dp/B07BGFRKNF,1
B005578L6I,http://www.amazon.com/dp/B005578L6I,5
1628559403,http://www.amazon.com/dp/1628559403,5
B07N32K12H,http://www.amazon.com/dp/B07N32K12H,5
B07SGGYQPK,http://www.amazon.com/dp/B07SGGYQPK,5
B0837V7CDT,http://www.amazon.com/dp/B0837V7CDT,3
B07VTNWQ84,http://www.amazon.com/dp/B07VTNWQ84,5
B07RC8JP1J,http://www.amazon.com/dp/B07RC8JP1J,5
1284193969,http://www.amazon.com/dp/1284193969,0
B07CP8WWNG,http://www.amazon.com/dp/B07CP8WWNG,5
B07P7PC6J1,http://www.amazon.com/dp/B07P7PC6J1,0
B07FD5VHKT,http://www.amazon.com/dp/B07FD5VHKT,5
B07VLK331W,http://www.amazon.com/dp/B07VLK331W,0
B07WGYQ9M9,http://www.amazon.com/dp/B07WGYQ9M9,5
B07DYKNDL3,http://www.amazon.com/dp/B07DYKNDL3,5
B013V6OFGE,http://www.amazon.com/dp/B013V6OFGE,5
0998958034,http://www.amazon.com/dp/0998958034,5
B07Q8D6M22,http://www.amazon.com/dp/B07Q8D6M22,0
1692727923,http://www.amazon.com/dp/1692727923,0
B07PQ9C7F2,http://www.amazon.com/dp/B07PQ9C7F2,0
B007V5AXOA,http://www.amazon.com/dp/B007V5AXOA,1
B00KAFOEWU,http://www.amazon.com/dp/B00KAFOEWU,5
B079ZJXNP4,http://www.amazon.com/dp/B079ZJXNP4,1
B002WIVHSM,http://www.amazon.com/dp/B002WIVHSM,1
B0845M4T8Z,http://www.amazon.com/dp/B0845M4T8Z,5
B01KKC6T70,http://www.amazon.com/dp/B01KKC6T70,5
B084DF6Q35,http://www.amazon.com/dp/B084DF6Q35,0
B087QMRFQ4,http://www.amazon.com/dp/B087QMRFQ4,5
1594961948,http://www.amazon.com/dp/1594961948,5
B07G74WLVN,http://www.amazon.com/dp/B07G74WLVN,5
B075FD1TLT,http://www.amazon.com/dp/B075FD1TLT,0
B003VXGAK2,http://www.amazon.com/dp/B003VXGAK2,5
B07Y92G633,http://www.amazon.com/dp/B07Y92G633,0
B086BV8KTD,http://www.amazon.com/dp/B086BV8KTD,5
B015S4DRRK,http://www.amazon.com/dp/B015S4DRRK,5
B07NWSDT3K,http://www.amazon.com/dp/B07NWSDT3K,5
B07XFF5DTL,http://www.amazon.com/dp/B07XFF5DTL,5
B07PK5TWVH,http://www.amazon.com/dp/B07PK5TWVH,0
B083LZ21WP,http://www.amazon.com/dp/B083LZ21WP,5
B07FN5MLTY,http://www.amazon.com/dp/B07FN5MLTY,0
B08722SB9X,http://www.amazon.com/dp/B08722SB9X,1
B07X4X57ZF,http://www.amazon.com/dp/B07X4X57ZF,5
B005GG0MXI,http://www.amazon.com/dp/B005GG0MXI,5
B07MC78MD9,http://www.amazon.com/dp/B07MC78MD9,5
B00P9OFT44,http://www.amazon.com/dp/B00P9OFT44,0
B004OEKBSY,http://www.amazon.com/dp/B004OEKBSY,1
B01N198NMI,http://www.amazon.com/dp/B01N198NMI,5
B079WDQ5F9,http://www.amazon.com/dp/B079WDQ5F9,5
B081Y3SVT1,http://www.amazon.com/dp/B081Y3SVT1,1
B0018C7872,http://www.amazon.com/dp/B0018C7872,0
B07XBZC7Y1,http://www.amazon.com/dp/B07XBZC7Y1,5
B088N8ZTC3,http://www.amazon.com/dp/B088N8ZTC3,0
B0144XE4E6,http://www.amazon.com/dp/B0144XE4E6,5
B00HMFY692,http://www.amazon.com/dp/B00HMFY692,5
B07GVRW7KD,http://www.amazon.com/dp/B07GVRW7KD,5
B083B7QFFB,http://www.amazon.com/dp/B083B7QFFB,5
B07R7MPDD2,http://www.amazon.com/dp/B07R7MPDD2,3
B07LH74WT4,http://www.amazon.com/dp/B07LH74WT4,0
B076GTCCTD,http://www.amazon.com/dp/B076GTCCTD,5
B009AN7Y2U,http://www.amazon.com/dp/B009AN7Y2U,5
B07R8GD47V,http://www.amazon.com/dp/B07R8GD47V,0
B001IZASY4,http://www.amazon.com/dp/B001IZASY4,5
B07F83JPP1,http://www.amazon.com/dp/B07F83JPP1,5
1535425725,http://www.amazon.com/dp/1535425725,5
B07D6LNQ6W,http://www.amazon.com/dp/B07D6LNQ6W,5
B0191SI1WK,http://www.amazon.com/dp/B0191SI1WK,5
B001MTEXS8,http://www.amazon.com/dp/B001MTEXS8,5
B006MBAQXC,http://www.amazon.com/dp/B006MBAQXC,5
B07H47MPST,http://www.amazon.com/dp/B07H47MPST,0
B00WZ4VQ52,http://www.amazon.com/dp/B00WZ4VQ52,0
B078HT5WT4,http://www.amazon.com/dp/B078HT5WT4,5
B07TF9W6TM,http://www.amazon.com/dp/B07TF9W6TM,1
B07J52NW99,http://www.amazon.com/dp/B07J52NW99,5
B07GFRG49Y,http://www.amazon.com/dp/B07GFRG49Y,0
B0040MJY2Y,http://www.amazon.com/dp/B0040MJY2Y,5
B077H9PFZM,http://www.amazon.com/dp/B077H9PFZM,5
0316450014,http://www.amazon.com/dp/0316450014,5
B01MYZXU0O,http://www.amazon.com/dp/B01MYZXU0O,5
B08397HFF9,http://www.amazon.com/dp/B08397HFF9,5
B06WWRSCRZ,http://www.amazon.com/dp/B06WWRSCRZ,5
B07J368VR6,http://www.amazon.com/dp/B07J368VR6,5
1980881065,http://www.amazon.com/dp/1980881065,1
B071YLXRKR,http://www.amazon.com/dp/B071YLXRKR,5
B07KDG3HL5,http://www.amazon.com/dp/B07KDG3HL5,5
B0779HSXNX,http://www.amazon.com/dp/B0779HSXNX,5
B01FVJFXNS,http://www.amazon.com/dp/B01FVJFXNS,0
B00BEDVL9Q,http://www.amazon.com/dp/B00BEDVL9Q,0
B07HGPZJM2,http://www.amazon.com/dp/B07HGPZJM2,0
B088BP1XRG,http://www.amazon.com/dp/B088BP1XRG,3
B07TF71V9L,http://www.amazon.com/dp/B07TF71V9L,5
B00DBYI6RQ,http://www.amazon.com/dp/B00DBYI6RQ,0
1659163641,http://www.amazon.com/dp/1659163641,0
B00TRB7U4C,http://www.amazon.com/dp/B00TRB7U4C,5
B004ULLOIC,http://www.amazon.com/dp/B004ULLOIC,1
0399534881,http://www.amazon.com/dp/0399534881,1
B00T6N8JL4,http://www.amazon.com/dp/B00T6N8JL4,5
B01KLKH2MW,http://www.amazon.com/dp/B01KLKH2MW,0
1700949144,http://www.amazon.com/dp/1700949144,0
1465451897,http://www.amazon.com/dp/1465451897,5
B07S67J1HM,http://www.amazon.com/dp/B07S67J1HM,1
B079G9PCGJ,http://www.amazon.com/dp/B079G9PCGJ,5
B0043RSJTK,http://www.amazon.com/dp/B0043RSJTK,-1
B07G9MM65K,http://www.amazon.com/dp/B07G9MM65K,3
B01GNUJEZW,http://www.amazon.com/dp/B01GNUJEZW,0
B00D8DP3Y4,http://www.amazon.com/dp/B00D8DP3Y4,0
B07Q2DR59L,http://www.amazon.com/dp/B07Q2DR59L,5
B07Q29GQRQ,http://www.amazon.com/dp/B07Q29GQRQ,1
B07DWDRZL6,http://www.amazon.com/dp/B07DWDRZL6,5
B01GGFDVUI,http://www.amazon.com/dp/B01GGFDVUI,0
B084P4MGS4,http://www.amazon.com/dp/B084P4MGS4,0
B07HZ4DSVN,http://www.amazon.com/dp/B07HZ4DSVN,0
B086MQ57Y2,http://www.amazon.com/dp/B086MQ57Y2,1
B07NGXYM2D,http://www.amazon.com/dp/B07NGXYM2D,3
B077XJBF5K,http://www.amazon.com/dp/B077XJBF5K,-1
B0089DWJ9K,http://www.amazon.com/dp/B0089DWJ9K,5
B0872HGPVV,http://www.amazon.com/dp/B0872HGPVV,0
B005KL6YT0,http://www.amazon.com/dp/B005KL6YT0,5
B074D7G669,http://www.amazon.com/dp/B074D7G669,5
B015CKNWJI,http://www.amazon.com/dp/B015CKNWJI,5
B01CYZGMJG,http://www.amazon.com/dp/B01CYZGMJG,5
B01J761KSS,http://www.amazon.com/dp/B01J761KSS,5
B084ZSNT43,http://www.amazon.com/dp/B084ZSNT43,5
B07CP9LWKR,http://www.amazon.com/dp/B07CP9LWKR,5
B00H8P6O0K,http://www.amazon.com/dp/B00H8P6O0K,0
